Scenario_Full_ID,M_Opt,Max_Value,Error_Rate,Error_Type,Pos_Errors,Neg_Errors,Seeded_Population_Rate,Config_ID,Avg_Time_Sec,Avg_Generations,Avg_Found_M,Avg_Distance_From_Opt
M10_Max1000_Err2%_neg_Seed2%_CfgA,10,1000,0.02,neg,0,1,0.02,A,0.0429,25,10,0
M10_Max1000_Err2%_neg_Seed0%_CfgC,10,1000,0.02,neg,0,1,0.0,C,0.1867,25,10,0
M10_Max1000_Err2%_neg_Seed2%_CfgB,10,1000,0.02,neg,0,1,0.02,B,0.0666,25,10,0
M10_Max1000_Err2%_neg_Seed2%_CfgC,10,1000,0.02,neg,0,1,0.02,C,0.1879,25.2,10,0
M10_Max1000_Err2%_neg_Seed5%_CfgA,10,1000,0.02,neg,0,1,0.05,A,0.037,25,10,0
M10_Max1000_Err2%_neg_Seed5%_CfgB,10,1000,0.02,neg,0,1,0.05,B,0.0699,25.2,10,0
M10_Max1000_Err2%_both_Seed0%_CfgA,10,1000,0.02,both,1,1,0.0,A,0.0455,25.2,11,1
M10_Max1000_Err2%_neg_Seed5%_CfgC,10,1000,0.02,neg,0,1,0.05,C,0.2056,25,10.5,0.5
M10_Max1000_Err2%_both_Seed0%_CfgB,10,1000,0.02,both,1,1,0.0,B,0.0905,25.3,11.5,1.5
M10_Max1000_Err2%_both_Seed2%_CfgA,10,1000,0.02,both,1,1,0.02,A,0.0464,25.6,11,1
M10_Max1000_Err2%_both_Seed0%_CfgC,10,1000,0.02,both,1,1,0.0,C,0.2289,25,11,1
M10_Max1000_Err2%_both_Seed2%_CfgB,10,1000,0.02,both,1,1,0.02,B,0.1031,25.5,11.9,1.9
M10_Max1000_Err2%_both_Seed5%_CfgA,10,1000,0.02,both,1,1,0.05,A,0.0538,25.3,11,1
M10_Max1000_Err2%_both_Seed5%_CfgB,10,1000,0.02,both,1,1,0.05,B,0.0885,25.1,11,1
M10_Max1000_Err2%_both_Seed5%_CfgC,10,1000,0.02,both,1,1,0.05,C,0.221,25,11,1
M10_Max1000_Err5%_pos_Seed0%_CfgA,10,1000,0.05,pos,2,0,0.0,A,0.0599,25.5,12,2
M10_Max1000_Err5%_pos_Seed0%_CfgB,10,1000,0.05,pos,2,0,0.0,B,0.1068,25.1,12,2
M10_Max1000_Err2%_both_Seed2%_CfgC,10,1000,0.02,both,1,1,0.02,C,0.3177,27.2,11.5,1.5
M10_Max1000_Err5%_pos_Seed2%_CfgA,10,1000,0.05,pos,2,0,0.02,A,0.0629,25.2,12,2
M10_Max1000_Err5%_pos_Seed0%_CfgC,10,1000,0.05,pos,2,0,0.0,C,0.2796,25,12,2
