Scenario_Full_ID,M_Opt,Max_Value,Error_Rate,Error_Type,Pos_Errors,Neg_Errors,Seeded_Population_Rate,Config_ID,Avg_Time_Sec,Avg_Generations,Avg_Found_M,Avg_Distance_From_Opt
M40_Max1000_Clean_Seed0%_CfgC,40,1000,0.0,none,0,0,0.0,C,108.2813,27.3,74.5,34.5
M40_Max1000_Clean_Seed2%_CfgB,40,1000,0.0,none,0,0,0.02,B,22.8357,26.1,46.9,6.9
M40_Max1000_Clean_Seed2%_CfgC,40,1000,0.0,none,0,0,0.02,C,68.969,25,40,0
M40_Max1000_Err2%_pos_Seed0%_CfgA,40,1000,0.02,pos,16,0,0.0,A,22.7951,29.6,76,36
M40_Max1000_Err2%_pos_Seed0%_CfgB,40,1000,0.02,pos,16,0,0.0,B,56.2082,39.6,74.4,34.4
M40_Max1000_Err2%_pos_Seed2%_CfgA,40,1000,0.02,pos,16,0,0.02,A,26.8776,36.8,74.6,34.6
M40_Max1000_Err2%_pos_Seed0%_CfgC,40,1000,0.02,pos,16,0,0.0,C,112.082,27.4,75.6,35.6
M40_Max1000_Err2%_pos_Seed2%_CfgB,40,1000,0.02,pos,16,0,0.02,B,67.614,56.7,66,26
M40_Max1000_Err2%_neg_Seed0%_CfgA,40,1000,0.02,neg,0,16,0.0,A,28.0044,39.8,73.8,33.8
M40_Max1000_Err2%_pos_Seed2%_CfgC,40,1000,0.02,pos,16,0,0.02,C,106.4116,28.8,67.3,27.3
M40_Max1000_Err2%_neg_Seed0%_CfgB,40,1000,0.02,neg,0,16,0.0,B,75.0944,54.2,73.1,33.1
M40_Max1000_Err2%_neg_Seed2%_CfgA,40,1000,0.02,neg,0,16,0.02,A,21.3919,41.2,52.4,12.4
M40_Max1000_Err2%_neg_Seed0%_CfgC,40,1000,0.02,neg,0,16,0.0,C,109.3002,27.2,74.4,34.4
M40_Max1000_Err2%_neg_Seed2%_CfgB,40,1000,0.02,neg,0,16,0.02,B,49.341,48.6,50.3,10.3
M40_Max1000_Err2%_neg_Seed2%_CfgC,40,1000,0.02,neg,0,16,0.02,C,92.9972,27.7,57.7,17.7
M40_Max1000_Err2%_both_Seed0%_CfgA,40,1000,0.02,both,16,16,0.0,A,34.6838,45.2,75.5,35.5
M40_Max1000_Err2%_both_Seed0%_CfgB,40,1000,0.02,both,16,16,0.0,B,55.2414,36.1,75.8,35.8
M40_Max1000_Err2%_both_Seed2%_CfgA,40,1000,0.02,both,16,16,0.02,A,24.0236,33.8,70.6,30.6
M40_Max1000_Err2%_both_Seed0%_CfgC,40,1000,0.02,both,16,16,0.0,C,114.197,27.1,75.1,35.1
